utc,irradiance,qualityflags,irradiancetype
2021-05-09 03:32:59.514891,1361.6038336434135,0,1
2021-05-09 03:33:49.513951,1361.62143458931,0,1
2021-05-09 03:34:39.513051,1361.6383096029333,0,1
2021-05-09 03:35:29.512143,1361.6512323007435,0,1
2021-05-09 03:36:19.511216,1361.6554423932519,0,1
2021-05-09 03:37:09.510295,1361.6500375509588,0,1
2021-05-09 03:37:59.509388,1361.6392526907168,0,1
2021-05-09 03:38:49.508468,1361.6249315099312,0,1
2021-05-09 03:39:39.507553,1361.6128954674584,0,1
2021-05-09 03:40:29.506639,1361.6178980049056,0,1
2021-05-09 03:41:19.505730,1361.6404579709442,0,1
2021-05-09 03:42:09.504818,1361.662854954195,0,1
2021-05-09 03:42:59.503902,1361.6741799426134,0,1
2021-05-09 03:43:49.502988,1361.6755064390375,0,1
2021-05-09 03:44:39.502092,1361.6732166698519,0,1
2021-05-09 03:45:29.501182,1361.6750522706143,0,1
2021-05-09 03:46:19.500265,1361.6806377944602,0,1
2021-05-09 03:47:09.499337,1361.6832305100697,0,1
2021-05-09 03:47:59.498445,1361.6846123361317,0,1
2021-05-09 03:48:49.497519,1361.6946049642581,0,1
2021-05-09 03:49:39.496623,1361.7180057857126,0,1
2021-05-09 03:50:29.495704,1361.7524471064555,0,1
2021-05-09 03:51:19.494791,1361.7813896925995,0,1
2021-05-09 03:52:09.493866,1361.7778013584607,0,1
2021-05-09 03:52:59.492950,1361.746729565567,0,1
2021-05-09 03:53:49.492034,1361.7259641020826,0,1
2021-05-09 03:54:39.491152,1361.7308754920468,0,1
2021-05-09 03:55:29.490226,1361.7467550830172,0,1
2021-05-09 03:56:19.489329,1361.7551046600029,0,1
2021-05-09 03:57:09.488403,1361.7443489548048,0,1
2021-05-09 03:57:59.487507,1361.7246673123122,0,1
2021-05-09 03:58:49.486594,1361.7196832614434,65536,0
2021-05-09 03:59:39.502573,1361.7326085803668,65536,0
2021-05-09 04:00:29.501659,1361.7500523686376,65536,0
2021-05-09 04:01:19.500754,1361.7632854888127,65600,0
2021-05-09 04:02:09.499832,1361.7739563320847,65600,0
2021-05-09 04:02:59.498936,1361.9489321093872,65616,0
2021-05-09 04:03:49.498019,1357.3158159629381,65618,0
2021-05-09 04:04:39.497115,1264.832855909491,65618,0
2021-05-09 04:05:29.496197,938.4156805389954,65618,0
2021-05-09 04:06:19.495304,459.78241107708885,65618,0
2021-05-09 04:07:09.494384,130.65989696436594,65618,0
2021-05-09 04:07:59.493486,36.423812551302255,65618,0
2021-05-09 04:08:49.492571,32.462339874299616,65618,0
2021-05-09 04:16:19.484577,-0.011731503688724814,2416017424,2
2021-05-09 04:17:09.483694,-0.013557064112440493,2416017424,2
2021-05-09 04:17:59.482822,-0.014901275103722234,2416017424,2
2021-05-09 04:18:49.481930,-0.014175000309541904,2416017424,2
2021-05-09 04:19:39.481049,-0.013176646515707817,2416017424,2
2021-05-09 04:20:29.480164,-0.016206473269795327,2416017424,2
2021-05-09 04:21:19.479284,-0.02061994974313025,2416017424,2
2021-05-09 04:22:09.478392,-0.01993724349955299,2416017424,2
2021-05-09 04:22:59.477517,-0.015195872669143113,2416017424,2
2021-05-09 04:23:49.476625,-0.011621383130024941,2416017424,2
2021-05-09 04:24:39.475749,-0.01034857445149313,2416017424,2
2021-05-09 04:25:29.474849,-0.011121432047671718,2416017424,2
2021-05-09 04:26:19.473960,-0.014038250712129698,2416017424,2
2021-05-09 04:27:09.473057,-0.016234081773778077,2416017424,2
2021-05-09 04:27:59.472196,-0.01539551080288729,2416017424,2
2021-05-09 04:28:49.471294,-0.013863342917951516,2416017424,2
2021-05-09 04:29:39.470406,-0.013858956583744564,2416017424,2
2021-05-09 04:30:29.469504,-0.01429792689678783,2416017424,2
2021-05-09 04:31:19.468618,-0.014173858476460289,2416017424,2
2021-05-09 04:32:09.467704,-0.013506957929427766,2416017424,2
2021-05-09 04:32:59.466817,-0.012097085607607937,2416017424,2
2021-05-09 04:33:49.465915,-0.010446988179786568,2416017424,2
2021-05-09 04:34:39.465019,-0.007926833861012202,2416017424,2
2021-05-09 04:35:29.480794,-0.004555179433586085,2416017424,2
2021-05-09 04:36:19.479890,-0.005761207414541641,268533840,3
2021-05-09 04:37:09.478961,-0.009638036670197579,268533840,3
2021-05-09 04:37:59.478058,0.034096461637878925,268533840,3
2021-05-09 04:45:29.469832,35.55497768980113,65618,0
2021-05-09 04:46:19.468915,32.07116430333543,65618,0
2021-05-09 04:47:09.467997,32.82982213266876,65618,0
2021-05-09 04:47:59.467086,31.849500190356725,65618,0
2021-05-09 04:48:49.466169,30.519562597371394,65618,0
2021-05-09 04:49:39.465254,29.842247960972735,65618,0
2021-05-09 04:50:29.464339,30.679044273712474,65618,0
2021-05-09 04:51:19.463430,34.40230605705954,65618,0
2021-05-09 04:52:09.462516,40.50150759979658,65618,0
2021-05-09 04:52:59.461605,43.980050202534485,65618,0
2021-05-09 04:53:49.460672,41.12877889413919,65618,0
2021-05-09 04:54:39.459760,41.71177109040847,65554,0
2021-05-09 04:55:29.458866,67.30880881422215,65554,0
2021-05-09 04:56:19.457939,189.1700633617904,65554,0
2021-05-09 04:57:09.457017,516.7364145355946,65554,0
2021-05-09 04:57:59.456117,966.3279700093685,65554,0
2021-05-09 04:58:49.455208,1270.4102547986813,65554,0
2021-05-09 04:59:39.454294,1357.3486688679604,65554,0
2021-05-09 05:00:29.453367,1361.935792237496,65554,0
2021-05-09 05:01:19.452460,1361.7816196259048,65552,0
2021-05-09 05:02:09.451539,1361.7647664094252,65536,0
2021-05-09 05:02:59.450622,1361.7488350430604,65536,0
2021-05-09 05:03:49.449721,1361.7320632305637,65536,0
2021-05-09 05:04:39.448802,1361.7162145127081,65536,0
2021-05-09 05:05:29.447884,1361.7050836637557,0,1
2021-05-09 05:06:19.446973,1361.7020532346835,0,1
2021-05-09 05:07:09.446048,1361.7052308984323,0,1
2021-05-09 05:07:59.445135,1361.7134298151827,0,1
2021-05-09 05:08:49.444220,1361.7263284535918,0,1
2021-05-09 05:09:39.443309,1361.7321150509565,0,1
2021-05-09 05:10:29.442390,1361.7132070024938,0,1
2021-05-09 05:11:19.458080,1361.682235511316,0,1
2021-05-09 05:12:09.457159,1361.6762849935462,0,1
2021-05-09 05:12:59.456237,1361.6999626480335,0,1
2021-05-09 05:13:49.455347,1361.724469125871,0,1
2021-05-09 05:14:39.454427,1361.7350102976357,0,1
2021-05-09 05:15:29.453521,1361.7365920582617,0,1
2021-05-09 05:16:19.452588,1361.7306182606264,0,1
2021-05-09 05:17:09.451667,1361.7119684292265,0,1
2021-05-09 05:17:59.450767,1361.6883616877692,0,1
2021-05-09 05:18:49.449840,1361.6789237422174,0,1
2021-05-09 05:19:39.448949,1361.6853731036445,0,1
2021-05-09 05:20:29.448027,1361.6948174053302,0,1
2021-05-09 05:21:19.447102,1361.705276420154,0,1
2021-05-09 05:22:09.446190,1361.7210052210455,0,1
2021-05-09 05:22:59.445267,1361.736683251993,0,1
2021-05-09 05:23:49.444354,1361.7446347641312,0,1
2021-05-09 05:24:39.443439,1361.748356842826,0,1
2021-05-09 05:25:29.442529,1361.7556487776774,0,1
2021-05-09 05:26:19.441613,1361.7664391026547,0,1
2021-05-09 05:27:09.440689,1361.7761990135737,0,1
2021-05-09 05:27:59.439787,1361.780508371462,0,1
2021-05-09 05:28:49.438878,1361.7761156748863,0,1
2021-05-09 05:29:39.437960,1361.7659858339778,0,1
2021-05-09 05:30:29.437047,1361.7554034580078,0,1
2021-05-09 05:31:19.436136,1361.7442389860864,65536,0
2021-05-09 05:32:09.435210,1361.7315135125225,65536,0
2021-05-09 05:32:59.434311,1361.7230605625618,65536,0
2021-05-09 05:33:49.433399,1361.7257107006842,65600,0
2021-05-09 05:34:39.432498,1361.7405852339998,65600,0
2021-05-09 05:35:29.431586,1361.4105172824263,65616,0
2021-05-09 05:36:19.430682,1337.4202586323786,65618,0
2021-05-09 05:37:09.429751,1222.391456528118,65618,0
2021-05-09 05:37:59.428871,958.9553051975932,65618,0
2021-05-09 05:38:49.427957,586.0866592358466,65618,0
2021-05-09 05:39:39.427065,249.42082449131684,65618,0
2021-05-09 05:40:29.426159,73.65105874898931,65618,0
2021-05-09 05:41:19.425259,35.47898066362706,65618,0
2021-05-09 05:48:49.417196,-0.01308157000146047,268533840,3
2021-05-09 05:49:39.433064,-0.011718131854118274,2416017424,2
2021-05-09 05:50:29.432164,-0.011987984487248644,2416017424,2
2021-05-09 05:51:19.431286,-0.015688902262949757,2416017424,2
